Name,ImageURL,Brand,Rating,ReviewCount,Description,Price
"ACT Braces Care Anticavity Mouthwash (18 Oz, Clean Mint)",https://i5.walmartimages.com/asr/a7fa6e41-316f-462b-8a94-11672f45a012.6edbcaff25bf6c50ad5df081f4d54213.jpeg | https://i5.walmartimages.com/asr/db3dde78-bf56-457e-aa32-d301f4e9f2d6.a921e7cc4a46e5bde643d4c57b4446ed.jpeg | https://i5.walmartimages.com/asr/464f7d12-b9d7-454e-be81-32e3e4dedae3.e96ec2524345e7108bd7089098af0eeb.jpeg | https://i5.walmartimages.com/asr/3d029b1a-fec7-4095-a09f-3667ce1ba3cd.18646e84c25dd9874b11238ffe9a0eeb.jpeg | https://i5.walmartimages.com/asr/3942ef90-1287-4da0-845c-156429ab69d8.dd2337ac83edee44f3b9cf6b63d86a52.jpeg | https://i5.walmartimages.com/asr/c2121121-9ea4-4074-9dea-d63f2af20ee3.be0aa0ebe05bf16942fd7db504f52eb2.jpeg | https://i5.walmartimages.com/asr/ba8b3cee-1745-474d-9fee-a9aa1273104a.875be8f2e9d79a38580b31ceaee27fc6.jpeg,ACT,5,32,"Got braces? Start ACTing to help prevent cavities, strengthen teeth and freshen breath. ACT Braces Care Zero Alcohol Anticavity Fluoride Mouthwash is formulated to help loosen particles brushing might miss, as well as prevent white spots. ACT Anticavity Mouthwash Without Alcohol is formulated with aloe to help soothe mouth tissue. When it comes to happy smiles, trust the No. 1 dentist recommended fluoride brand. CONTAINS ONE (1): 18 fluid ounce bottle of ACT Braces Care Zero Alcohol Anticavity Fluoride Mouthwash Clean Mint Flavor ZERO ALCOHOL: This ACT Oral Care Product is an alcohol-free mouthwash START ACTING: ACT Mouthwash for Braces is formulated to help remove particles that brushing might miss 4 BENEFITS IN 1: This fluoride mouthwash is designed to help loosen particles, prevent white spots and cavities, soothe with aloe and freshen breath DENTIST RECOMMENDED BRAND: ACT Fluoride Mouthwash is the #1 dentist recommended fluoride brand FOR AGES 6 & UP: ACT Fluoride Mouthwash is for adults and kids ages 6 and up",3.98
"Versace Man Eau Fraiche Eau De Toilette Spray, Cologne for Men, 1 Oz",https://i5.walmartimages.com/asr/edaaeed5-9da0-48b8-861f-50165d5fd930_1.3c03e869a55226a4718f313c00f76071.png | https://i5.walmartimages.com/asr/e57d2d1a-cf1d-4c4f-9721-3d83af729eaf_1.51af97bdaa2a960be97936a8011931fb.jpeg,Versace,5,24,,30.0
"Tree Hut Shea Sugar Scrub Passion Fruit & Guava, 18oz, Ultra Hydrating and Exfoliating Scrub for Nourishing Essential Body Care",https://i5.walmartimages.com/asr/be83d31d-81cf-48b8-b248-1f33e7377db7_1.7ccaa922e325a5a6d97827adf617ca28.jpeg | https://i5.walmartimages.com/asr/b2064d88-c9c0-4756-ac8d-a436f051d29f_1.ce83df1f27479c41ab1e551e216d3fdf.jpeg | https://i5.walmartimages.com/asr/96ca9dd9-a358-4fad-a4c8-bd73d70b5581_1.847a2903422ebebe6e80540f789bac70.jpeg | https://i5.walmartimages.com/asr/51f7524b-97df-4313-af86-dbe663c15167_1.dfb1b9bbe5e09e41fac3311a768d560a.jpeg | https://i5.walmartimages.com/asr/8386d86e-6d54-4234-b899-7c6e2a33364f_1.9bd95c6748a2ce775cba2d2a237f688e.jpeg | https://i5.walmartimages.com/asr/019e6eed-aa9b-4661-abdd-368e1c15915d_1.e0ef429ac9cb426bc043b0382ca9272e.png | https://i5.walmartimages.com/asr/f3011eed-50c3-4f51-9a77-e637e267aaaa_1.f16b0930d51008249de65e9a4499c157.jpeg,Tree Hut,5,22,"Enjoy this gentle exfoliator, the Tree Hut Shea Sugar Scrub with the amazing scent of Passion Fruit & Guava. Tree Hut Sugar Scrubs are infused with Certified Shea Butter, and an array of natural oils, including Evening Primrose, Safflower Seed, Sweet Almond, Avocado, and Orange Oil. This scrub provides intense exfoliation AND moisturization, leaving your feeling soft and smooth while providing powerful hydration. 100% PURE NATURAL SHEA BUTTER - Premium deep moisturizer that wonderfully softens and smooths dry cracked skin. SAFFLOWER SEED OIL, AVACADO OIL, SWEET ALMOND OIL, MACADAMIA SEED OIL, ORANGE OIL - Amazing skin conditioners that prevents dryness and provides your skin a refined healthy glow. PASSION FRUIT EXTRACT AND GUAVA EXTRACT - Quality moisturizers that softens and smooths skin with the ideal fragrance for the senses. PARABEN FREE - Absolutely no parabens or formaldehyde donors! Free of harmful chemicals for healthy skincare.",6.48
Biolage Hydrasource Conditioning Balm For Dry Hair by Matrix for Unisex - 16.9 oz Balm,https://i5.walmartimages.com/asr/4a0904fb-a101-43eb-bc2c-14a35d747c4f_1.c492c8569b6664d56c16c07142453791.jpeg | https://i5.walmartimages.com/asr/dcae5c81-d2e5-4bca-8b2c-f2c78d22a8dc_1.6445d556c72e887904a9b487056ea98d.jpeg,Matrix,5,21,,18.99
"Ardell Double Up False Eyelashes, 203",https://i5.walmartimages.com/asr/7c7534ab-b6ea-41ee-a2f1-6e2396b38663_1.ba5e8aaec4ae774995d5e28ee24debd2.jpeg | https://i5.walmartimages.com/asr/bd4c8f7c-0d0a-4663-9102-d878bf1a77e7_1.a498c1d2bfc3b3b4a0bd725b6d26ab15.jpeg,Ardell,5,19,"New Ardell Double Up lashes are two pairs of eyelashes in one for a fuller, thicker look. They are made with 100 percent sterilized human hair and they are reusable. They are easy to apply and produce beautiful and full lashes in no time at all. Simply apply these Double up eyelashes #203 to the base of your natural lash line and trim the excess away. You may find yourself batting your eyes more than ever before once you put on a set. Ardell Double Up, # 203: Two pairs of lashes in one makes for extra-thick final results These Ardell double lashes attach to your natural lash line Made with 100% sterilized human hair Reusable",8.28
"Hello Kids Fluoride Free and SLS Free Rinse, Natural Watermelon, 16oz",https://i5.walmartimages.com/asr/6998ff2c-58be-408a-a4fb-952a659a118e.61cb81dd2311251b22e2eccdb006b848.jpeg | https://i5.walmartimages.com/asr/bffcca95-cd23-42e8-805b-3925c0f46147_1.9f1fac5a488846087bb929540e45f1ae.jpeg | https://i5.walmartimages.com/asr/0255284d-b216-437a-a56f-15cb2e2e6ca7_2.61adf00b7be4feed5b98ae1317de7198.jpeg | https://i5.walmartimages.com/asr/ed594403-9af4-49d5-b9ec-c1d609d85d0c_1.fb014fdfd7bbe0b8deba3d22824d22f1.jpeg | https://i5.walmartimages.com/asr/f5d3ffa4-0ec0-4cf5-bbd0-84affddacf16_2.80ef8eaf0199ec3b313eae5859b4b968.jpeg,Hello,5,19,"Say hello to naturally friendly kids fluoride free rinse in organic watermelon flavor. this mouthwash is safe if swallowed and thoughtfully formulated with soothing aloe vera, xylitol and organic watermelon flavor. it also washes away stuff that brushing may miss, freshens breath, and tastes so delicious theyll rush to rinse. but buckle-up, theres more goodness: hello contains no alcohol, no artificial sweeteners, no artificial flavors, no dyes and no Sls/sulfates. as if that werent enough magic for one bottle, hello is also vegan and never tested on animals (Leaping Bunny Certified and Peta recognized). Finally, your little ones swish come true.Hello Kids Natural Watermelon Fluoride Free Rinse",13.49
"ReNew Life CleanseMore, Veggie Caps, 60 ea",https://i5.walmartimages.com/asr/9f707fe4-9ee3-4dc5-b230-0005d2ba6f29_1.3b8ea51118f73b8528bbc6b808dd4ba4.jpeg | https://i5.walmartimages.com/asr/3fdd4912-70c4-4d75-bb00-72e390c9d6ac_1.db8927d28da7bb33697d9eff3b206fb8.jpeg,Renew Life,5,15,"Herbal & Mineral FormulaWorks OvernightBrings Relief to Occasional ConstipationHelps Eliminate Waste & ToxinsCleanse More is a potent herbal formula with natural magnesium to stimulate and hydrate the bowel. It helps relieve occasional constipation without cramping discomfort, and promotes the elimination of waste and toxins to help you feel rejuvenated. Directions Take 2 capsules at night. May start with 1 capsule the first night then increase to 2 capsules each night if needed. Free Of GMOs, yeast, wheat, corn, soy, gluten, salt, sugar, dairy, animal products, binders, fillers and artificial ingredients. Disclaimer These statements have not been evaluated by the FDA. These products are not intended to diagnose, treat, cure, or prevent any disease.ReNew Life CleanseMore, Veggie Caps, 60 ea",15.55
"(2 Pack) Pro Styl Vitamin &quotE&quot Oil, 6 Oz",https://i5.walmartimages.com/asr/b31a925f-cb2a-4634-802e-eb71b37b4953_1.d94bcc2564203e24e22d181b1705dbb0.jpeg,V.I.P.,5,13,,6.83
Aura Cacia Essential Oil Frankincense 0.5 fl oz Liquid,https://i5.walmartimages.com/asr/d5261a71-0787-401e-9da8-6bdfa9b02ffd.7389cb1b23c48c7d749225dea4a37e5b.jpeg | https://i5.walmartimages.com/asr/ee2187ca-df69-4a49-a9ef-237b6519471b_1.1096842dfcf96f6c3374c77dd9f1645f.jpeg,Aura Cacia,5,13,"Frankincense oil is a traditional favorite that has been used for thousands of years. Aura Cacia Frankincense is 100% pure essential oil. It is characterized by a sweet, balsamic aroma and is recommended for use as part of a mist or in an oil blend in a candle lamp diffuser.Often used in face creams and oils for aging skin",7.0
Clay-Park Labs Ammonium Lactate Lotion 12% 14 oz - (Pack of 3),https://i5.walmartimages.com/asr/b3d5462d-d067-4d6c-9bf4-3208d894d948_1.4d6c2628d4bc49bacda112eafca826ae.jpeg,Clay-Park Labs,5,13,"Pack of 3 for the UPC: 081642525267 Pearigo Ammonium Lactate Lotion 14 oz, for moisturizing and softening dry, scaly skin 12%. Prescription strength moisturizing lotion for extra dry or rough skin. Lactic acid, an alpha-hydroxy acid, is an extremely effective natural skin moisturizing agent. Clay-Park Labs Ammonium Lactate Lotion 12% 14 oz (Pack of 3)",73.55
